"","track_name","track_id","artist_name","duration_ms","popularity","explicit","album_name","album_id","release_date","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"60","Chase The Money","3rnDyg4f2oRsWmXdZVFD1Y","E-40",284439,50,TRUE,"Practice Makes Paper","5EK2Kc4pKtcVGUM4Dvz2PQ",2019-07-26,"chasin paper",0.893,0.776,11,-5.356,1,0.293,0.00607,0,0.103,0.229,91.987,4
"61","For The Squadron","1Am6QnI4dZi0bkXeJXwW6P","SAINt JHN",188854,59,TRUE,"For The Squadron","5G34PSaRGTFhZZWuznAXGI",2022-02-18,"chasin paper",0.765,0.402,6,-6.387,1,0.0557,0.0178,1.84e-05,0.11,0.353,87.054,4
"62","Lifestyle (with Bas feat. A$AP Ferg)","0URbdJpIV9B54W2d9yeMwt","Dreamville",166775,59,TRUE,"D-Day: A Gangsta Grillz Mixtape","3tFjhFPqGhhLrCULnPu7Wy",2022-03-31,"chasin paper",0.832,0.7,0,-6.005,0,0.0491,0.12,0,0.239,0.586,145.937,4
"63","Sharing Locations (feat. Lil Baby & Lil Durk)","3T9BKc4kB7ukeNQrCqv6ZV","Meek Mill",161052,64,TRUE,"Expensive Pain","3cLQ49Ll3nGRkw3HSSk92K",2021-10-01,"chasin paper",0.681,0.63,1,-5.585,1,0.0385,0.00383,0,0.139,0.183,151.951,4
"64","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","0ZNrc4kNeQYD9koZ3KvCsy","YG",237240,67,TRUE,"STAY DANGEROUS","5IYvKd22yQkJRfoIStesbX",2018-08-03,"chasin paper",0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,4
"65","Million Dollars Worth of Game (feat. 42 Dugg)","6C0vyXq2uzFRTTLcE4whhl","2 Chainz",158627,59,TRUE,"Dope Don't Sell Itself","5IGnGTSdX9jMvEMostmUfu",2022-02-04,"chasin paper",0.81,0.68,2,-4.871,1,0.346,0.0059,0,0.112,0.419,97.02,4
"66","HANDSOMER","4v1TTTCadimzZkTuDTnYBc","Russ",143414,65,TRUE,"HANDSOMER","3zCqTgk4dwtws1HhNoHqWI",2022-02-04,"chasin paper",0.886,0.651,8,-6.413,1,0.222,0.188,0,0.11,0.476,81.985,4
"67","Sou Sou","6y6Yg1VnKqWs5MiL4LpJkk","Jidenna",228604,40,TRUE,"85 to Africa","238eVufzRziHuYLuBVZh1u",2019-08-23,"chasin paper",0.897,0.555,3,-9.043,0,0.112,0.0301,0,0.158,0.535,119.977,4
"68","The Setup","6uzesxG4dlBg3faZmzL6Qs","Obie Trice",193000,62,TRUE,"Cheers","7exM52pkWRKdoZqkheCRCC",2003-01-01,"chasin paper",0.908,0.738,1,-4.933,1,0.271,0.143,0,0.0829,0.79,95.954,4
"69","Get Big","4iZdCChpb4nEH2jirUH90e","Dorrough Music",225467,48,TRUE,"Get Big","3GAZaILHESpE47pqtiBs2F",2010-09-07,"chasin paper",0.764,0.538,2,-8.917,1,0.337,0.00243,0,0.328,0.209,174.169,4
"70","Scorpio","0LlFMKD7MAHwOqkIBsHui6","Moneybagg Yo",165772,0,TRUE,"A Gangsta’s Pain: Reloaded","78L6XKTChkf0M5SK3oogk3",2021-10-22,"chasin paper",0.736,0.532,1,-7.151,1,0.265,0.0292,8.86e-06,0.0806,0.273,84.983,4
"71","Ain’t No Fun","7hUpFUXJsDXMKopFz3Q2AP","Wiz Khalifa",147204,45,TRUE,"Ain’t No Fun","3dJ5oJaFMMsIsBz1nU4wk6",2022-04-06,"chasin paper",0.899,0.536,8,-5.493,1,0.278,0.0446,0,0.0539,0.719,82.999,4
"72","R.I.C.O. (feat. Drake)","0Y0TOsE1q11qgbi7c5WZsG","Meek Mill",197133,70,TRUE,"Dreams Worth More Than Money","2O3OKOYCub892PUGprsaQo",2015-06-29,"chasin paper",0.727,0.599,1,-6.941,1,0.327,0.317,0,0.219,0.386,167.909,3
"73","100YD Dash (Madden 20 Original Soundtrack)","3udJ09ioWBam8g9AlfUpvY","GRIP",162909,34,FALSE,"100YD Dash (Madden 20 Original Soundtrack)","4UyKbjtQ4cn8UOUHNlLWPR",2019-07-24,"chasin paper",0.826,0.718,7,-6.685,1,0.317,0.133,0.000129,0.0957,0.637,82.451,4
